Kelas,Hari,Jam,WaktuMulai,WaktuSelesai,Kind,MataPelajaran,Guru,Ruang
X ULW,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
X ULW,Jumat,2,07:30,08:00,CLASS,BK,"Niken Hari Pratiwi, S.Psi.,M.Pd",R 22
X ULW,Jumat,3-4,08:00,09:00,CLASS,Dasar ULP,"Risqi Nur Imama, S.Tr.Par",R 22
X ULW,Jumat,5-6,09:00,10:20,CLASS,Seni Budaya,"Angga Widhy Wirawan, S.Pd.,M.Pd",R 22
X ULW,Jumat,7-8,10:20,11:20,CLASS,Koding dan Kecerdasan Artifisial,"Shinta Indyar Shanty Susanto, S.Kom",Lab. UPW 2 (Ticketing)
X ULW,Jumat,9-10-11,13:00,14:30,CLASS,IPAS,"Ista Nofasari, S.Pd",R 22
X ULW,Jumat,12-13,14:30,15:30,CLASS,Matematika,"Dwi Nova Setyandari, S.Pd",R 22
X DKV 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
X DKV 1,Senin,2-3-4,07:40,09:40,CLASS,Pendidikan Agama Islam dan Budi Pekerti,Dra. Hanik Pangestuti,R 15
X DKV 1,Senin,5-6-7,10:00,12:00,CLASS,IPAS,"Khuriyatul Kamila, S.Si",R 15
X DKV 1,Senin,8-9-10,13:00,15:00,CLASS,Dasar DKV,"Danang Anjar Hymawanto, S.Pd",R 15
X DKV 1,Selasa,1,07:00,07:40,CLASS,BK,"Nur Eko Wahyuningsi h, S.Pd",R 15
X DKV 1,Selasa,2-3,07:40,09:00,CLASS,Bahasa Inggris,"Fajar Wahyu Pratiwi, S.S",R 15
X DKV 1,Selasa,4-5-6,09:00,11:20,CLASS,Dasar DKV,"Agus Pramono, S.Sn",R 15
X DKV 1,Selasa,7-8,11:20,13:40,CLASS,Bahasa Jawa,"Khoyrotun Hisani, S.Sn",R 15
X DKV 1,Selasa,9-10,13:40,15:00,CLASS,Bahasa Indonesia,"Erna Rinawati, S.Pd",R 15
X DKV 1,Rabu,1-2,07:00,08:20,CLASS,Matematika,"Rulik Indrawati, S.Pd",R 15
X DKV 1,Rabu,3-4-5,08:20,10:40,CLASS,PJOK,"Ilham Sungeidi, S.Pd",Lapangan
X DKV 1,Rabu,6-7-8,10:40,13:40,CLASS,Dasar DKV,"Khoyrotun Hisani, S.Sn",R 15
X DKV 1,Rabu,9-10,13:40,15:00,CLASS,Koding dan Kecerdasan Artifisial,"Endik Kuswantoro, S.Kom.,M.T",Lab. DKV Komputer
X DKV 1,Kamis,1-2,07:00,08:20,CLASS,Informatika,"Elysa Yuli Nur'aini, S.Si",Lab. DKV Komputer
X DKV 1,Kamis,3-4,08:20,09:40,CLASS,Bahasa Inggris,"Fajar Wahyu Pratiwi, S.S",R 15
