Kelas,Hari,Jam,WaktuMulai,WaktuSelesai,Kind,MataPelajaran,Guru,Ruang
XI TKI 1,Kamis,6-7,10:40,12:00,CLASS,PJOK,"Ilham Sungeidi, S.Pd",Lapangan
XI TKI 1,Kamis,8-9-10,13:00,15:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Mufatiroh, S.Ag",R 65
XI TKI 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI TKI 1,Jumat,2-3-4,07:30,09:00,CLASS,Konsentrasi TKI,"Ayu Puspitorini, ST",R 65
XI TKI 1,Jumat,5-6-7-8,09:00,11:20,CLASS,Konsentrasi TKI,"Diana Hartanti, S.T., M.Pd",R 65
XI TKI 1,Jumat,9-10,13:00,14:00,CLASS,Bahasa Inggris,"Agus Muharyanto, M.Pd",R 65
XI TKI 1,Jumat,11-12,14:00,15:00,CLASS,BK,"Yuni Jiastuti, S.Pd",R 65
XI TKI 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI TKI 2,Senin,2-3,07:40,09:00,CLASS,PJOK,"Ilham Sungeidi, S.Pd",LAP
XI TKI 2,Senin,4-5-6,09:00,11:20,CLASS,Matematika,"Basuki Sarjono, S.Pd",R 66
XI TKI 2,Senin,7-8,11:20,13:40,CLASS,Bahasa Jepang,"Rizki Putri Wulandari, S.Pd",R 66
XI TKI 2,Senin,9-10,13:40,15:00,CLASS,Bahasa Inggris,"Komariyah, S.Pd",R 66
XI TKI 2,Selasa,1-2,07:00,08:20,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Baskoro, S.Si",R 66
XI TKI 2,Selasa,3-4,08:20,09:40,CLASS,Konsentrasi TKI,"Baskoro, S.Si",R 66
XI TKI 2,Selasa,5-6,10:00,11:20,CLASS,Konsentrasi TKI,"Rifkotin Na'imah, S.Pd",R 66
XI TKI 2,Selasa,7-8,11:20,13:40,CLASS,Mapel Pilihan TKI,"Sri Kusumastuti, S.Pd",R 66
XI TKI 2,Selasa,9-10,13:40,15:00,CLASS,Pendidikan Pancasila,"Sri Kusumastuti, S.Pd",R 66
XI TKI 2,Rabu,1-2-3,07:00,09:00,CLASS,Bahasa Indonesia,"Yani, S.Pd.",R 66
XI TKI 2,Rabu,4-5-6,09:00,11:20,CLASS,Konsentrasi TKI,"Ayu Puspitorini, ST",R 66
XI TKI 2,Rabu,7-8-9-10,11:20,15:00,CLASS,Konsentrasi TKI,"Diana Hartanti, S.T., M.Pd",R 66
XI TKI 2,Kamis,1-2-3,07:00,09:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Mufatiroh, S.Ag",R 66
XI TKI 2,Kamis,4-5-6-7,09:00,12:00,CLASS,Konsentrasi TKI,"Diana Hartanti, S.T., M.Pd",R 66
XI TKI 2,Kamis,8-9-10,13:00,15:00,CLASS,Konsentrasi TKI,"Ayu Puspitorini, ST",R 66
XI TKI 2,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI TKI 2,Jumat,2-3,07:30,08:30,CLASS,Sejarah,"Baskoro, S.Si",R 66
XI TKI 2,Jumat,4-5-6,08:30,10:20,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Baskoro, S.Si",R 66
XI TKI 2,Jumat,7-8,10:20,11:20,CLASS,Bahasa Inggris,"Komariyah, S.Pd",R 66
XI TKI 2,Jumat,9-10,13:00,14:00,CLASS,BK,"Yuni Jiastuti, S.Pd",R 66
XI TKI 2,Jumat,11-12,14:00,15:00,CLASS,Bahasa Jawa,"Yustin Febrini, S.Pd",R 66
XI RPL 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI RPL 1,Senin,2-3-4,07:40,09:40,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Mufatiroh, S.Ag",R 57
XI RPL 1,Senin,5-6,10:00,11:20,CLASS,BK,"Widodo, S.Pd",Lab. RPL 1
XI RPL 1,Senin,7-8-9-10,11:20,15:00,CLASS,Konsentrasi RPL,"Kurnila Putri Islamawati, S.Pd",Lab. RPL 1
XI RPL 1,Selasa,1-2-3-4,07:00,09:40,CLASS,Konsentrasi RPL,"Kurnila Putri Islamawati, S.Pd",Lab. RPL 1
XI RPL 1,Selasa,5-6-7,10:00,12:00,CLASS,Konsentrasi RPL,"Shinta Indyar Shanty Susanto, S.Kom",Lab. RPL 1
XI RPL 1,Selasa,8-9-10,13:00,15:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Anisa Kusumawati, S.Pd",Lab. RPL 1
XI RPL 1,Rabu,1-2-3-4,07:00,09:40,CLASS,Konsentrasi RPL,"Shinta Indyar Shanty Susanto, S.Kom",Lab. RPL 1
XI RPL 1,Rabu,5-6,10:00,11:20,CLASS,Bahasa Inggris,"Isti Mufadah, S.Pd",R 57
XI RPL 1,Rabu,7-8,11:20,13:40,CLASS,Sejarah,"Erna Qoriah, S.E.",R 57
XI RPL 1,Rabu,9-10,13:40,15:00,CLASS,Bahasa Jawa,"Laili Ermawati, S.Pd",R 57
XI RPL 1,Kamis,1-2-3,07:00,09:00,CLASS,Konsentrasi RPL,"Shinta Indyar Shanty Susanto, S.Kom",Lab. RPL 1
XI RPL 1,Kamis,4-5,09:00,10:40,CLASS,Mapel Pilihan RPL,"Hendro Suwignyo, ST",Lab. RPL 1
XI RPL 1,Kamis,6-7,10:40,12:00,CLASS,PJOK,"Zainul Arifin,S.Pd",LAP
XI RPL 1,Kamis,8-9-10,13:00,15:00,CLASS,Bahasa Indonesia,"Umi Kulsum, S.Pd",R 57
XI RPL 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI RPL 1,Jumat,2-3,07:30,08:30,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Anisa Kusumawati, S.Pd",R 57
XI RPL 1,Jumat,4-5,08:30,09:30,CLASS,Pendidikan Pancasila,"Wiwik Yuniarsih, S.Pd",R 57
XI RPL 1,Jumat,6-7,09:50,10:50,CLASS,Bahasa Jepang,"Sulistyowati, SS",R 57
XI RPL 1,Jumat,8-9,10:50,13:30,CLASS,Bahasa Inggris,"Isti Mufadah, S.Pd",Lab. RPL 1
XI RPL 1,Jumat,10-11-12,13:30,15:00,CLASS,Matematika,"Lutfia Marsalina, S.Pd.I, M.Pd.",R 57
XI RPL 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI RPL 2,Senin,2-3-4,07:40,09:40,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Anisa Kusumawati, S.Pd",R 58
XI RPL 2,Senin,5-6,10:00,11:20,CLASS,Bahasa Inggris,"Fajar Wahyu Pratiwi, S.S",R 58
XI RPL 2,Senin,7-8-9-10,11:20,15:00,CLASS,Konsentrasi RPL,"Badrus Sulaiman, S.Pd.",Lab. RPL 2
XI RPL 2,Selasa,1-2-3,07:00,09:00,CLASS,Matematika,"Lutfia Marsalina, S.Pd.I, M.Pd.",R 58
XI RPL 2,Selasa,4-5,09:00,10:40,CLASS,Bahasa Inggris,"Fajar Wahyu Pratiwi, S.S",R 58
XI RPL 2,Selasa,6-7,10:40,12:00,CLASS,PJOK,"Zainul Arifin,S.Pd",LAP
XI RPL 2,Selasa,8-9-10,13:00,15:00,CLASS,Konsentrasi RPL,"Badrus Sulaiman, S.Pd.",Lab. RPL 2
XI RPL 2,Rabu,1-2-3-4,07:00,09:40,CLASS,Konsentrasi RPL,"Kurnila Putri Islamawati, S.Pd",Lab. RPL 2
XI RPL 2,Rabu,5-6,10:00,11:20,CLASS,Mapel Pilihan RPL,"Hendro Suwignyo, ST",Lab. RPL 2
XI RPL 2,Rabu,7-8,11:20,13:40,CLASS,Pendidikan Pancasila,"Wiwik Yuniarsih, S.Pd",R 58
XI RPL 2,Rabu,9-10,13:40,15:00,CLASS,Sejarah,"Erna Qoriah, S.E.",R 58
XI RPL 2,Kamis,1-2,07:00,08:20,CLASS,Bahasa Jepang,"Sulistyowati, SS",R 58
XI RPL 2,Kamis,3-4,08:20,09:40,CLASS,BK,"Widodo, S.Pd",R 58
XI RPL 2,Kamis,5-6,10:00,11:20,CLASS,Bahasa Jawa,"Laili Ermawati, S.Pd",Lab. RPL 2
XI RPL 2,Kamis,7-8-9-10,11:20,15:00,CLASS,Konsentrasi RPL,"Kurnila Putri Islamawati, S.Pd",Lab. RPL 2
XI RPL 2,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI RPL 2,Jumat,2-3-4,07:30,09:00,CLASS,Bahasa Indonesia,"Winartin, S.Pd",R 58
XI RPL 2,Jumat,5-6-7,09:00,10:50,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Mufatiroh, S.Ag",R 58
XI RPL 2,Jumat,8-9-10,10:50,14:00,CLASS,Konsentrasi RPL,"Badrus Sulaiman, S.Pd.",Lab. RPL 2
XI RPL 2,Jumat,11-12,14:00,15:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Anisa Kusumawati, S.Pd",Lab. RPL 2
XI TKJ 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI TKJ 1,Senin,2-3,07:40,09:00,CLASS,Bahasa Jepang,"Sulistyowati, SS",Lab. TKJ 1
XI TKJ 1,Senin,4-5-6,09:00,11:20,CLASS,Bahasa Indonesia,"Sri Rahayu, S.Pd",Lab. TKJ 1
XI TKJ 1,Senin,7-8-9-10,11:20,15:00,CLASS,Konsentrasi TKJ,"Siti Munawaroh, S.Kom.,M.Pd",Lab. TKJ 1
XI TKJ 1,Selasa,1-2,07:00,08:20,CLASS,Bahasa Inggris,"Isti Mufadah, S.Pd",Lab. TKJ 1
XI TKJ 1,Selasa,3-4-5,08:20,10:40,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Niken Dewi Hastika, S.Pd",Lab. TKJ 1
XI TKJ 1,Selasa,6-7,10:40,12:00,CLASS,PJOK,"Ilham Sungeidi, S.Pd",Lapangan
XI TKJ 1,Selasa,8-9-10,13:00,15:00,CLASS,Konsentrasi TKJ,"Siswanti Purwaningsih, S.T., M.Pd",Lab. TKJ 1
XI TKJ 1,Rabu,1-2,07:00,08:20,CLASS,Sejarah,"Baskoro, S.Si",Lab. TKJ 1
XI TKJ 1,Rabu,3-4,08:20,09:40,CLASS,Bahasa Inggris,"Isti Mufadah, S.Pd",Lab. TKJ 1
XI TKJ 1,Rabu,5-6,10:00,11:20,CLASS,Mapel Pilihan TKJ,"Listyana Hartati, S.Kom., M.Pd",Lab. TKJ 1
XI TKJ 1,Rabu,7-8,11:20,13:40,CLASS,Konsentrasi TKJ,"Endang Ary Handayani, S.T., M.Pd",Lab. TKJ 1
XI TKJ 1,Rabu,9-10,13:40,15:00,CLASS,Bahasa Jawa,"Luluk Munfarida,S.Pd",Lab. TKJ 1
XI TKJ 1,Kamis,1-2-3,07:00,09:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,Dra. Hanik Pangestuti,Lab. TKJ 1
XI TKJ 1,Kamis,4-5,09:00,10:40,CLASS,BK,"Nishfu Laili,S.Pd",Lab. TKJ 1
XI TKJ 1,Kamis,6-7-8-9-10,10:40,15:00,CLASS,Konsentrasi TKJ,"Listyana Hartati, S.Kom.,M.Pd",Lab. TKJ 1
XI TKJ 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI TKJ 1,Jumat,2-3-4,07:30,09:00,CLASS,Matematika,"Lutfia Marsalina, S.Pd.I, M.Pd.",Lab. TKJ 1
XI TKJ 1,Jumat,5-6-7-8,09:00,11:20,CLASS,Konsentrasi TKJ,"Ary Sunaryo, ST.,M.Pd",Lab. TKJ 1
XI TKJ 1,Jumat,9-10,13:00,14:00,CLASS,Pendidikan Pancasila,"Fitri Amaliyah, S.Pd",Lab. TKJ 1
XI TKJ 1,Jumat,11-12,14:00,15:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Niken Dewi Hastika, S.Pd",Lab. TKJ 1
XI TKJ 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI TKJ 2,Senin,2-3,07:40,09:00,CLASS,Bahasa Jawa,"Luluk Munfarida,S.Pd",R 34
XI TKJ 2,Senin,4-5,09:00,10:40,CLASS,Konsentrasi TKJ,"Endang Ary Handayani, S.T., M.Pd",Lab. TKJ 2 (FO)
XI TKJ 2,Senin,6-7-8,10:40,13:40,CLASS,Pendidikan Agama Islam dan Budi Pekerti,Dra. Hanik Pangestuti,R 34
XI TKJ 2,Senin,9-10,13:40,15:00,CLASS,Bahasa Inggris,"Isti Mufadah, S.Pd",R 34
XI TKJ 2,Selasa,1-2-3,07:00,09:00,CLASS,Matematika,"Elysa Yuli Nur'aini, S.Si",R 34
XI TKJ 2,Selasa,4-5,09:00,10:40,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Erna Qoriah, S.E.",R 34
XI TKJ 2,Selasa,6-7-8-9-10,10:40,15:00,CLASS,Konsentrasi TKJ,"Listyana Hartati, S.Kom.,M.Pd",Lab. TKJ 2 (FO)
XI TKJ 2,Rabu,1-2,07:00,08:20,CLASS,PJOK,"Ilham Sungeidi, S.Pd",Lapangan
XI TKJ 2,Rabu,3-4,08:20,09:40,CLASS,Mapel Pilihan TKJ,"Listyana Hartati, S.Kom., M.Pd",Lab. TKJ 2 (FO)
XI TKJ 2,Rabu,5-6,10:00,11:20,CLASS,BK,"Nishfu Laili,S.Pd",R 34
XI TKJ 2,Rabu,7-8-9-10,11:20,15:00,CLASS,Konsentrasi TKJ,"Ary Sunaryo, ST.,M.Pd",Lab. TKJ 2 (FO)
XI TKJ 2,Kamis,1-2,07:00,08:20,CLASS,Sejarah,"Baskoro, S.Si",R 34
XI TKJ 2,Kamis,3-4,08:20,09:40,CLASS,Bahasa Inggris,"Isti Mufadah, S.Pd",R 34
XI TKJ 2,Kamis,5-6-7,10:00,12:00,CLASS,Konsentrasi TKJ,"Siswanti Purwaningsih, S.T., M.Pd",Lab. TKJ 2 (FO)
XI TKJ 2,Kamis,8-9-10,13:00,15:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Erna Qoriah, S.E.",R 34
XI TKJ 2,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI TKJ 2,Jumat,2-3,07:30,08:30,CLASS,Pendidikan Pancasila,"Fitri Amaliyah, S.Pd",R 34
XI TKJ 2,Jumat,4-5-6,08:30,10:20,CLASS,Bahasa Indonesia,"Sri Rahayu, S.Pd",R 34
XI TKJ 2,Jumat,7-8-9-10,10:20,14:00,CLASS,Konsentrasi TKJ,"Siti Munawaroh, S.Kom.,M.Pd",Lab. TKJ 2 (FO)
XI TKJ 2,Jumat,11-12,14:00,15:00,CLASS,Bahasa Jepang,"Sulistyowati, SS",R 34
XI BD 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI BD 1,Senin,2-3,07:40,09:00,CLASS,Bahasa Jawa,"Muhammad Fajar Assidiqi, S.Pd",R 26
XI BD 1,Senin,4-5-6,09:00,11:20,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Erna Qoriah, S.E.",R 26
XI BD 1,Senin,7-8-9-10,11:20,15:00,CLASS,Mapel Pilihan BD,"Andri Krisdianto, SE.,M.Pd",R 26
XI BD 1,Selasa,1-2,07:00,08:20,CLASS,Pendidikan Pancasila,"Abdul Rohman, S.Pd",R 26
XI BD 1,Selasa,3-4,08:20,09:40,CLASS,Bahasa Inggris,"Dwi Rini Manfaati, S.Pd",R 26
XI BD 1,Selasa,5-6-7,10:00,12:00,CLASS,Konsentrasi BD,"Nurul Azizah, S.Pd",R 26
XI BD 1,Selasa,8-9-10,13:00,15:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Sinta Lestari, S.Pd.I",R 26
XI BD 1,Rabu,1-2,07:00,08:20,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Erna Qoriah, S.E.",R 26
XI BD 1,Rabu,3-4-5,08:20,10:40,CLASS,Matematika,"Arvia Rienetasary, S.Pd",R 26
XI BD 1,Rabu,6-7,10:40,12:00,CLASS,PJOK,"Agus Fahruddy, S.Pd., M.Pd",Lapangan
XI BD 1,Rabu,8-9-10,13:00,15:00,CLASS,Konsentrasi BD,"Niken Dewi Hastika, S.Pd",R 26
XI BD 1,Kamis,1-2,07:00,08:20,CLASS,BK,"Nur Eko Wahyuningsih, S.Pd",R 26
XI BD 1,Kamis,3-4,08:20,09:40,CLASS,Konsentrasi BD,"Andri Krisdianto, SE., M.Pd",R 26
XI BD 1,Kamis,5-6-7-8,10:00,13:40,CLASS,Konsentrasi BD,"Agung Yulianto, S.Pd",R 26
XI BD 1,Kamis,9-10,13:40,15:00,CLASS,Konsentrasi BD,"Niken Dewi Hastika, S.Pd",R 26
XI BD 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI BD 1,Jumat,2-3,07:30,08:30,CLASS,Konsentrasi BD,"Nurul Azizah, S.Pd",R 26
XI BD 1,Jumat,4-5,08:30,09:30,CLASS,Konsentrasi BD,"Luluk Munfarida,S.Pd",R 26
XI BD 1,Jumat,6-7,09:50,10:50,CLASS,Sejarah,Dra. Anik Indriani,R 26
XI BD 1,Jumat,8-9-10,10:50,14:00,CLASS,Bahasa Indonesia,"Erna Rinawati, S.Pd",R 26
XI BD 1,Jumat,11-12,14:00,15:00,CLASS,Bahasa Inggris,"Dwi Rini Manfaati, S.Pd",R 26
XI BD 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI BD 2,Senin,2-3-4-5,07:40,10:40,CLASS,Konsentrasi BD,"Agung Yulianto, S.Pd",R 61
XI BD 2,Senin,6-7,10:40,12:00,CLASS,Sejarah,Dra. Anik Indriani,R 61
XI BD 2,Senin,8-9-10,13:00,15:00,CLASS,Bahasa Indonesia,"Erna Rinawati, S.Pd",R 61
XI BD 2,Selasa,1-2-3,07:00,09:00,CLASS,Matematika,"Arvia Rienetasary, S.Pd",R 61
XI BD 2,Selasa,4-5-6-7,09:00,12:00,CLASS,Mapel Pilihan BD,"Andri Krisdianto, SE.,M.Pd",R 61
XI BD 2,Selasa,8-9-10,13:00,15:00,CLASS,Konsentrasi BD,"Nurul Azizah, S.Pd",R 61
XI BD 2,Rabu,1-2,07:00,08:20,CLASS,PJOK,"Agus Fahruddy, S.Pd., M.Pd",Lapangan
XI BD 2,Rabu,3-4,08:20,09:40,CLASS,Konsentrasi BD,"Niken Dewi Hastika, S.Pd",R 61
XI BD 2,Rabu,5-6,10:00,11:20,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Erna Qoriah, S.E.",R 61
XI BD 2,Rabu,7-8,11:20,13:40,CLASS,Konsentrasi BD,"Andri Krisdianto, SE., M.Pd",R 61
XI BD 2,Rabu,9-10,13:40,15:00,CLASS,Bahasa Inggris,"Dwi Rini Manfaati, S.Pd",R 61
XI BD 2,Kamis,1-2-3,07:00,09:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Erna Qoriah, S.E.",R 61
XI BD 2,Kamis,4-5-6,09:00,11:20,CLASS,Konsentrasi BD,"Niken Dewi Hastika, S.Pd",R 61
XI BD 2,Kamis,7-8,11:20,13:40,CLASS,Pendidikan Pancasila,"Abdul Rohman, S.Pd",R 61
XI BD 2,Kamis,9-10,13:40,15:00,CLASS,Bahasa Jawa,"Muhammad Fajar Assidiqi, S.Pd",R 61
XI BD 2,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI BD 2,Jumat,2-3,07:30,08:30,CLASS,Konsentrasi BD,"Luluk Munfarida,S.Pd",R 61
XI BD 2,Jumat,4-5-6,08:30,10:20,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Sinta Lestari, S.Pd.I",R 61
XI BD 2,Jumat,7-8,10:20,11:20,CLASS,Bahasa Inggris,"Dwi Rini Manfaati, S.Pd",R 61
XI BD 2,Jumat,9-10,13:00,14:00,CLASS,BK,"Dian Mawarti, S.Pd",R 61
XI BD 2,Jumat,11-12,14:00,15:00,CLASS,Konsentrasi BD,"Luluk Munfarida,S.Pd",R 61
XI BD 3,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI BD 3,Senin,2-3,07:40,09:00,CLASS,Sejarah,Dra. Anik Indriani,Lab. BD Depan
XI BD 3,Senin,4-5-6-7,09:00,12:00,CLASS,Mapel Pilihan BD,"Niken Dewi Hastika, S.Pd",Lab. BD Depan
XI BD 3,Senin,8-9-10,13:00,15:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Erna Qoriah, S.E.",Lab. BD Depan
XI BD 3,Selasa,1-2,07:00,08:20,CLASS,BK,"Dian Mawarti, S.Pd",Lab. BD Depan
XI BD 3,Selasa,3-4,08:20,09:40,CLASS,Konsentrasi BD,"Luluk Munfarida,S.Pd",Lab. BD Depan
XI BD 3,Selasa,5-6-7-8,10:00,13:40,CLASS,Konsentrasi BD,"Agung Yulianto, S.Pd",Lab. BD Depan
XI BD 3,Selasa,9-10,13:40,15:00,CLASS,Bahasa Jawa,"Luluk Munfarida,S.Pd",Lab. BD Depan
XI BD 3,Rabu,1-2,07:00,08:20,CLASS,Konsentrasi BD,"Niken Dewi Hastika, S.Pd",Lab. BD Depan
XI BD 3,Rabu,3-4,08:20,09:40,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan","Erna Qoriah, S.E.",Lab. BD Depan
XI BD 3,Rabu,5-6-7,10:00,12:00,CLASS,Konsentrasi BD,"Nurul Azizah, S.Pd",Lab. BD Depan
XI BD 3,Rabu,8-9-10,13:00,15:00,CLASS,Bahasa Indonesia,"Umi Kulsum, S.Pd",Lab. BD Depan
XI BD 3,Kamis,1-2,07:00,08:20,CLASS,Bahasa Inggris,"Dwi Rini Manfaati, S.Pd",Lab. BD Depan
XI BD 3,Kamis,3-4,08:20,09:40,CLASS,PJOK,"Bella Prakoso, S.Pd",Lapangan
XI BD 3,Kamis,5-6-7,10:00,12:00,CLASS,Matematika,"Ajeng Okvitasari, S.Pd",Lab. BD Depan
XI BD 3,Kamis,8-9-10,13:00,15:00,CLASS,Konsentrasi BD,"Nurul Azizah, S.Pd",Lab. BD Depan
XI BD 3,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI BD 3,Jumat,2-3-4,07:30,09:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Fitria Diah Ayu Hartati, S.Pd",Lab. BD Depan
XI BD 3,Jumat,5-6,09:00,10:20,CLASS,Bahasa Inggris,"Dwi Rini Manfaati, S.Pd",Lab. BD Depan
XI BD 3,Jumat,7-8,10:20,11:20,CLASS,Konsentrasi BD,"Anisa Kusumawati, S.Pd",Lab. BD Depan
XI BD 3,Jumat,9-10,13:00,14:00,CLASS,Konsentrasi BD,"Luluk Munfarida,S.Pd",Lab. BD Depan
XI BD 3,Jumat,11-12,14:00,15:00,CLASS,Pendidikan Pancasila,"Nurul Azizah, S.Pd",Lab. BD Depan
XI MP 1,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI MP 1,Senin,2-3-4-5,07:40,10:40,CLASS,Konsentrasi MP,"Martiin, S.Pd",Lab. AP BAWAH
XI MP 1,Senin,6-7-8,10:40,13:40,CLASS,Bahasa Indonesia,"Purwati,S.Pd",R 6
XI MP 1,Senin,9-10,13:40,15:00,CLASS,Mapel Pilihan MP,"Tutut Sriatin, S.Pd",R 6
XI MP 1,Selasa,1-2,07:00,08:20,CLASS,Konsentrasi MP,"Martiin, S.Pd",Lab. AP BAWAH
XI MP 1,Selasa,3-4-5,08:20,10:40,CLASS,Konsentrasi MP,"Martiin, S.Pd",Lab. AP BAWAH
XI MP 1,Selasa,6-7-8,10:40,13:40,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Fitria Diah Ayu Hartati, S.Pd",R 6
XI MP 1,Selasa,9-10,13:40,15:00,CLASS,Bahasa Inggris,"Komariyah, S.Pd",R 6
XI MP 1,Rabu,1-2,07:00,08:20,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan",Dra. Susakti Yuharini,R 6
XI MP 1,Rabu,3-4-5-6,08:20,11:20,CLASS,Konsentrasi MP,"Martiin, S.Pd",Lab. AP BAWAH
XI MP 1,Rabu,7-8,11:20,13:40,CLASS,Pendidikan Pancasila,"Abdul Rohman, S.Pd",R 6
XI MP 1,Rabu,9-10,13:40,15:00,CLASS,Bahasa Jepang,"Sulistyowati, SS",R 6
XI MP 1,Kamis,1-2,07:00,08:20,CLASS,PJOK,"Zainul Arifin,S.Pd",LAP
XI MP 1,Kamis,3-4,08:20,09:40,CLASS,Sejarah,Dra. Anik Indriani,R 6
XI MP 1,Kamis,5-6-7,10:00,12:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan",Dra. Susakti Yuharini,R 6
XI MP 1,Kamis,8-9-10,13:00,15:00,CLASS,Matematika,"Laili Ermawati, S.Pd",R 6
XI MP 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
XI MP 1,Jumat,2-3,07:30,08:30,CLASS,Konsentrasi MP,"Martiin, S.Pd",Lab. AP BAWAH
XI MP 1,Jumat,4-5-6,08:30,10:20,CLASS,Konsentrasi MP,"Martiin, S.Pd",Lab. AP BAWAH
XI MP 1,Jumat,7-8,10:20,11:20,CLASS,BK,"Veronica Damay Rulitasari, S.Pd",R 6
XI MP 1,Jumat,9-10,13:00,14:00,CLASS,Bahasa Inggris,"Komariyah, S.Pd",R 6
XI MP 1,Jumat,11-12,14:00,15:00,CLASS,Bahasa Jawa,"Muhammad Fajar Assidiqi, S.Pd",R 6
XI MP 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
XI MP 2,Senin,2-3,07:40,09:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan",Dra. Susakti Yuharini,R 7
XI MP 2,Senin,4-5-6,09:00,11:20,CLASS,Matematika,"Laili Ermawati, S.Pd",R 7
XI MP 2,Senin,7-8-9-10,11:20,15:00,CLASS,Konsentrasi MP,"Sunarti, S.Pd",Lab. AP BAWAH
XI MP 2,Selasa,1-2-3,07:00,09:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,"Fitria Diah Ayu Hartati, S.Pd",R 7
XI MP 2,Selasa,4-5,09:00,10:40,CLASS,PJOK,"Zainul Arifin,S.Pd",Lapangan
XI MP 2,Selasa,6-7-8,10:40,13:40,CLASS,Konsentrasi MP,"Sunarti, S.Pd",Lab. AP BAWAH
XI MP 2,Selasa,9-10,13:40,15:00,CLASS,Mapel Pilihan MP,"Tutut Sriatin, S.Pd",R 7
XI MP 2,Rabu,1-2,07:00,08:20,CLASS,Konsentrasi MP,"Sunarti, S.Pd",Lab. AP BAWAH
XI MP 2,Rabu,3-4,08:20,09:40,CLASS,Bahasa Jepang,"Sulistyowati, SS",R 7
XI MP 2,Rabu,5-6,10:00,11:20,CLASS,Pendidikan Pancasila,"Abdul Rohman, S.Pd",R 7
XI MP 2,Rabu,7-8,11:20,13:40,CLASS,Konsentrasi MP,"Sunarti, S.Pd",Lab. AP BAWAH
XI MP 2,Rabu,9-10,13:40,15:00,CLASS,Bahasa Inggris,"Komariyah, S.Pd",R 7
XI MP 2,Kamis,1-2-3,07:00,09:00,CLASS,"Kreativitas, Inovasi, dan Kewirausahaan",Dra. Susakti Yuharini,R 7
XI MP 2,Kamis,4-5,09:00,10:40,CLASS,Bahasa Jawa,"Muhammad Fajar Assidiqi, S.Pd",R 7
XI MP 2,Kamis,6-7,10:40,12:00,CLASS,Sejarah,Dra. Anik Indriani,R 7
XI MP 2,Kamis,8-9-10,13:00,15:00,CLASS,Konsentrasi MP,"Sunarti, S.Pd",Lab. AP BAWAH
